Time(s),Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular Momentum X (dps),Angular Momentum Y (dps),Angular Momentum Z (dps)
0.013009,0.013306,0.996704,-0.120605,-1.564026,0.785828,1.525879
0.013156,0.014893,0.999023,-0.120728,-0.392914,0.785828,-1.148224
0.013302,0.013794,0.996826,-0.124878,-0.392914,-0.789642,0.381470
0.013449,0.012207,0.994751,-0.122192,2.349854,2.365112,-1.529694
0.013596,0.010132,0.996704,-0.118896,-0.782013,-5.126953,0.762939
0.013743,0.013550,1.002075,-0.116089,-1.174927,3.150940,0.000000
0.013890,0.020020,1.001343,-0.114502,-0.782013,-0.789642,-1.911163
0.014037,0.018066,0.998657,-0.118042,0.392914,-0.396729,0.381470
0.014184,0.018066,0.999878,-0.118530,-0.392914,1.968384,-0.385284
0.014331,0.016602,0.995728,-0.118042,3.131866,-3.944397,-3.437042
0.014479,0.016968,0.997070,-0.116821,-2.738953,3.547668,4.196167
0.014625,0.010742,0.999512,-0.117798,3.520966,-1.972198,-4.199982
0.014772,0.014404,0.999023,-0.117676,-3.520966,0.785828,3.433228
0.014919,0.016846,0.998657,-0.112061,0.782013,-1.579285,-3.437042
0.015066,0.015015,0.999512,-0.115723,-0.782013,0.392914,1.144409
0.015213,0.019775,0.997681,-0.116089,1.174927,-1.579285,-1.911163
0.015360,0.011108,0.994995,-0.112427,-0.392914,2.758026,1.144409
0.015507,0.010254,0.993774,-0.120483,-0.782013,0.392914,0.000000
0.015654,0.016968,0.996704,-0.125244,2.349854,-3.551483,-2.292633
0.015801,0.012695,1.002808,-0.119629,0.000000,0.785828,0.381470
0.015947,0.013428,0.999268,-0.116943,-1.174927,0.785828,1.144409
0.016094,0.011230,1.001465,-0.117798,-1.564026,-0.789642,-1.148224
0.016241,0.012207,0.998535,-0.117310,0.782013,-1.186371,-2.674103
0.016389,0.018921,0.996338,-0.117920,0.392914,1.968384,1.525879
0.016535,0.017944,0.998047,-0.122192,-0.392914,-1.972198,-1.148224
0.016682,0.014160,0.997192,-0.125488,2.349854,-0.396729,-1.148224
0.016829,0.016235,0.997314,-0.120850,-1.564026,1.182556,1.525879
0.016976,0.019531,1.002197,-0.121948,-0.782013,-1.186371,0.000000
0.017123,0.018799,1.002441,-0.126099,1.956940,-1.579285,-3.055573
0.017270,0.024536,1.004150,-0.120239,-1.956940,1.968384,1.525879
0.017417,0.018555,0.999390,-0.115601,0.000000,-1.972198,-0.766754
0.017564,0.015747,0.994995,-0.124023,0.000000,1.968384,-0.385284
0.017711,0.015503,0.997681,-0.126099,1.956940,-0.396729,-0.766754
0.017858,0.016724,0.997437,-0.123779,-1.956940,-0.396729,0.381470
0.018005,0.012573,0.997925,-0.124878,3.913879,-3.551483,-3.437042
0.018152,0.009521,0.997681,-0.120117,-3.520966,4.730225,3.814697
0.018298,0.016235,0.992188,-0.119873,0.392914,-2.368927,-3.055573
0.018452,0.015137,0.997192,-0.121704,-1.174927,-0.789642,0.381470
0.018593,0.015015,1.008545,-0.120483,2.738953,0.785828,-1.148224
0.018739,0.011230,0.999756,-0.118530,-0.392914,0.000000,-0.766754
0.018945,0.010864,0.995850,-0.116943,0.392914,-1.579285,2.670288
0.019028,0.010864,0.993408,-0.116943,0.782013,1.575470,-3.818512
0.019180,0.013794,0.998413,-0.122314,-1.956940,-0.789642,3.814697
0.019327,0.016357,1.002075,-0.122925,1.564026,-0.789642,-3.437042
0.019474,0.014526,0.994751,-0.114624,-0.392914,-1.972198,-1.529694
0.019621,0.023926,0.996826,-0.114990,-1.956940,2.758026,2.288818
0.019768,0.020142,0.994995,-0.119263,0.392914,-0.396729,-1.529694
0.019915,0.015747,0.993042,-0.118774,1.174927,-0.396729,-0.766754
0.020062,0.016357,0.993896,-0.118286,0.392914,-0.396729,0.000000
0.020209,0.017090,0.995972,-0.119263,0.392914,0.000000,0.000000
0.020356,0.018799,0.996460,-0.119141,-0.782013,-0.396729,1.144409
0.020503,0.018311,0.997681,-0.123779,-0.392914,-1.972198,-2.292633
0.020650,0.016846,1.002808,-0.123047,-0.392914,1.968384,-0.766754
0.020797,0.018921,0.998657,-0.119507,0.392914,-1.186371,1.525879
0.020944,0.008057,0.996094,-0.119751,-0.782013,0.000000,-2.292633
0.021091,0.010986,0.992554,-0.117188,2.738953,0.392914,-0.766754
0.021238,0.014771,0.994141,-0.115479,-1.174927,-0.396729,1.144409
